N_Serie;Tipo equipamento;Utilização;MAC addr;cc_aluno;acessorios;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;Tipo Equipamento;Utilização
;;;;;;;;;;;;Tablet;-
;;;;;;;;;;;;Computador;Manuais Digitais
;;;;;;;;;;;;Portátil;
;;;;;;;;;;;;Switch;
;;;;;;;;;;;;ÓculosVr;
;;;;;;;;;;;;Impressora 3D;
;;;;;;;;;;;;Mesas Digitais;
;;;;;;;;;;;;Jogos didáticos;
;;;;;;;;;;;;Robótica;
;;;;;;;;;;;;Musica/Som;
;;;;;;;;;;;;Projetor;
;;;;;;;;;;;;SmartBoard;
;;;;;;;;;;;;Outros;
